Date,IB_USD_TND,IB_EUR_TND,IB_GBP_TND,IB_JPY_TND,FIX_USD_Bid,FIX_USD_Ask,FIX_USD_Mid,FIX_EUR_Bid,FIX_EUR_Ask,FIX_EUR_Mid,EUR_USD,GBP_USD,USD_JPY,SPREAD_USD,SPREAD_EUR,ret_EUR_USD,ret_GBP_USD,ret_USD_JPY,ret_FIX_USD
2020-07-08,2.851,3.2227,3.5668,26.4444,2.8442,2.847,2.8456,3.2085,3.2118,3.21015,1.1329,1.2609,107.25,0.005399999999999849,0.012550000000000061,0.005221481839666614,0.005487309486314623,-0.0024213086890103597,-0.000439178216792957
2020-07-09,2.8408,3.2186,3.5851,26.4213,2.8359,2.8387,2.8373,3.2113,3.2146,3.21295,1.1281,1.2604,107.19,0.0035000000000002807,0.005649999999999711,-0.004245915268568198,-0.0003966207960611201,-0.0005595971046981063,-0.0029210459102400055
2020-07-10,2.8455,3.2086,3.5839,26.5857,2.8392,2.842,2.8406,3.2077,3.211,3.20935,1.1298,1.262,106.89,0.0049000000000001265,-0.0007500000000000284,0.0015058242802869354,0.001268633218038967,-0.0028026924175739154,0.0011624017230222883
2020-07-13,2.8387,3.2191,3.5726,26.471,2.8351,2.838,2.83655,3.2125,3.2157,3.2141,1.134,1.2552,107.26,0.0021499999999998742,0.004999999999999893,0.003710579396535643,-0.0054028416823355685,0.0034555252689250082,-0.0014267724781067415
2020-07-14,2.8379,3.2182,3.5459,26.3664,2.8318,2.8347,2.83325,3.2184,3.2217,3.22005,1.1396,1.2548,107.23,0.004649999999999821,-0.0018500000000001293,0.004926118336055885,-0.00031872510229991047,-0.00027973332272512863,-0.0011640623558630825
2020-07-15,2.8203,3.2243,3.5595,26.3536,2.8179,2.8208,2.81935,3.2246,3.2278,3.2262,1.141,1.258,106.92,0.0009500000000000064,-0.0019000000000000128,0.0012277472383224741,0.002546960943862836,-0.0028951689613361253,-0.004918100703189543
2020-07-16,2.8275,3.2214,3.5415,26.37,2.8256,2.8285,2.82705,3.2205,3.2238,3.22215,1.1383,1.2549,107.26,0.0004500000000002835,-0.0007500000000000284,-0.002369149530904613,-0.0024672701441234846,0.003174902284061254,0.0027274032208781662
2020-07-17,2.8199,3.2175,3.5394,26.3294,2.8209,2.8237,2.8223,3.223,3.2263,3.22465,1.1426,1.2565,106.99,-0.0023999999999997357,-0.007150000000000212,0.0037704459591911543,0.0012741898673844787,-0.002520421404264006,-0.001681609784963678
2020-07-20,2.8122,3.2195,3.5537,26.2775,2.8141,2.817,2.81555,3.224,3.2273,3.22565,1.1444,1.266,107.24,-0.003350000000000186,-0.006149999999999878,0.0015741148855930587,0.007532245720474673,0.002333941217242952,-0.0023945309737753995
2020-07-21,2.8112,3.2202,3.573,26.2366,2.8151,2.818,2.81655,3.2201,3.2234,3.22175,1.1526,1.2728,106.76,-0.005349999999999966,-0.0015499999999999403,0.007139777826610766,0.005356874319455557,-0.004485988831434362,0.0003551073349223888
2020-07-22,2.778,3.2214,3.5463,26.1195,2.7957,2.7984,2.79705,3.2307,3.234,3.23235,1.1568,1.2732,107.14,-0.01905000000000001,-0.010949999999999793,0.0036373124019342673,0.00031421838436077043,0.0035530659164901834,-0.006947441368717611
2020-07-23,2.7766,3.2218,3.5401,26.0076,2.7871,2.7898,2.78845,3.2283,3.2316,3.22995,1.1594,1.2739,106.85,-0.011849999999999916,-0.008150000000000102,0.002245057501132186,0.0005496447078033595,-0.002710408687657484,-0.003079404456523882
2020-07-24,2.772,3.2235,3.5481,26.1742,2.7837,2.7865,2.7851,3.2256,3.2289,3.22725,1.1654,1.2789,106.12,-0.013100000000000112,-0.003750000000000142,0.005161745803341333,0.003917272323533089,-0.006855452495617698,-0.0012021065222032057
2020-07-27,2.7545,3.2254,3.5476,26.1758,2.7569,2.7597,2.7583,3.2314,3.2346,3.233,1.1751,1.2881,105.37,-0.0038000000000000256,-0.007600000000000051,0.008288874630921539,0.00716793096276791,-0.007092563658102513,-0.009669231447495319
2020-07-28,2.7463,3.2288,3.5461,26.1781,2.753,2.7557,2.75435,3.2331,3.2363,3.2347,1.1714,1.293,105.08,-0.00804999999999989,-0.005900000000000016,-0.0031536356842134516,0.0037968353698152324,-0.002756000794096991,-0.001433067826183132
2020-07-29,2.7489,3.2268,3.568,26.2118,2.7513,2.754,2.75265,3.2274,3.2306,3.229,1.179,1.2995,104.91,-0.003750000000000142,-0.002200000000000202,0.00646700688168908,0.005014475309687627,-0.0016191250739447938,-0.0006173960610134088
2020-07-30,2.7491,3.2275,3.5754,26.1456,2.7484,2.7511,2.74975,3.2289,3.2322,3.23055,1.1846,1.3093,104.72,-0.0006500000000002615,-0.003049999999999997,0.004738543305493892,0.007513068152162461,-0.0018127181417497695,-0.001054085587567144
2020-07-31,2.7491,3.2275,3.5754,26.1456,2.7484,2.7511,2.74975,3.2289,3.2322,3.23055,1.1774,1.3088,105.88,-0.0006500000000002615,-0.003049999999999997,-0.0060965472487038985,-0.00038195638522492414,0.011016255757255955,0.0
2020-08-03,2.7451,3.2236,3.5863,25.9679,2.7524,2.7552,2.7538,3.2278,3.231,3.2294,1.1761,1.3072,105.94,-0.008700000000000152,-0.005800000000000249,-0.0011047377371701528,-0.001223241742744241,0.0005665187574797059,0.0014717775730459515
2020-08-04,2.7445,3.2347,3.5776,25.8668,2.7438,2.7465,2.74515,3.2311,3.2343,3.2327,1.18,1.306,105.7,-0.0006500000000002615,0.002000000000000224,0.00331055860271956,-0.0009184142693619557,-0.0022680032401884986,-0.0031460577508710674
2020-08-05,2.7349,3.2393,3.586,25.8277,2.7334,2.7362,2.7348,3.2364,3.2397,3.23805,1.1861,1.3112,105.57,0.00010000000000021103,0.0012500000000001954,0.005156175575519645,0.003973717593243498,-0.001230652874588678,-0.003777411219762161
2020-08-06,2.7345,3.2382,3.598,25.8869,2.7319,2.7347,2.7333,3.2352,3.2385,3.23685,1.1875,1.3146,105.54,0.001200000000000312,0.0013499999999999623,0.0011796428735662556,0.0025896883998559606,-0.000284212024081576,-0.0005486366517164498
2020-08-07,2.7388,3.2427,3.5811,25.9203,2.7375,2.7403,2.7389,3.2359,3.2392,3.23755,1.1786,1.3051,105.91,-0.00010000000000021103,0.005149999999999988,-0.007522963504983243,-0.007252770655993945,0.003499648878055872,0.002046709533597424
2020-08-10,2.7479,3.2325,3.5809,25.8903,2.7494,2.7521,2.75075,3.2297,3.233,3.23135,1.1736,1.307,105.95,-0.002850000000000019,0.0011499999999999844,-0.004251345575041088,0.001454768450739996,0.0003776078587307552,0.00431722182850236
2020-08-11,2.7526,3.2348,3.5925,25.8404,2.7412,2.744,2.7426,3.2326,3.2359,3.23425,1.1739,1.3048,106.48,0.010000000000000231,0.0005500000000000504,0.0002555910557044683,-0.0016846623174178177,0.004989889372548184,-0.00296722618426859
2020-08-12,2.7555,3.2396,3.5805,25.6973,2.7462,2.749,2.7476,3.234,3.2372,3.2356,1.1782,1.3032,106.89,0.00790000000000024,0.0040000000000000036,0.0036563112031104683,-0.0012269940189687523,0.003843094198997754,0.0018214277739729834
2020-08-13,2.7555,3.2396,3.5805,25.6973,2.7462,2.749,2.7476,3.234,3.2372,3.2356,1.1812,1.3063,106.92,,0.0040000000000000036,0.002543020782180744,0.002375935204682267,0.00028062298486375425,
